layer,feature_id,closed,seq,lon,lat
park,w53571936_0,1,50,123.3927368,41.7543855
park,w53571936_0,1,51,123.3930842,41.7544003
park,w53571936_0,1,52,123.3934030,41.7543102
park,w53571936_0,1,53,123.3936610,41.7541654
park,w53571936_0,1,54,123.3939562,41.7540716
park,w53571936_0,1,55,123.3946543,41.7541328
park,w53571936_0,1,56,123.3956915,41.7542657
park,w53571936_0,1,57,123.3970004,41.7541856
park,w53571936_0,1,58,123.3974373,41.7541346
park,w53571936_0,1,59,123.3980218,41.7540253
park,w53571936_0,1,60,123.3990687,41.7537349
park,w53571936_0,1,61,123.4000374,41.7534093
park,w53571936_0,1,62,123.4009104,41.7530430
park,w53571936_0,1,63,123.4014659,41.7526383
park,w53571936_0,1,64,123.4020162,41.7521522
park,w53571936_0,1,65,123.4025081,41.7514473
park,w53571936_0,1,66,123.4031990,41.7503913
park,w53571936_0,1,67,123.4041159,41.7489909
park,w53571936_0,1,68,123.4046988,41.7480612
park,w53571936_0,1,69,123.4056274,41.7467584
park,w53571936_0,1,70,123.4073963,41.7441721
park,w53571936_0,1,71,123.4079864,41.7433027
park,w53571936_0,1,72,123.4082176,41.7429260
park,w53571936_0,1,73,123.4083574,41.7426173
park,w53571936_0,1,74,123.4089159,41.7417401
park,w53571936_0,1,75,123.4094293,41.7411395
park,w53571936_0,1,76,123.4111022,41.7398078
park,w53571936_0,1,77,123.4123288,41.7391709
park,w53571936_0,1,78,123.4138150,41.7386842
park,w53571936_0,1,79,123.4154715,41.7382625
park,w53571936_0,1,80,123.4162762,41.7380677
park,w53571936_0,1,81,123.4172788,41.7377729
park,w53571936_0,1,82,123.4188082,41.7375359
park,w53571936_0,1,83,123.4200747,41.7374267
park,w53571936_0,1,84,123.4209346,41.7376246
park,w53571936_0,1,85,123.4213421,41.7373688
park,w53571936_0,1,86,123.4241530,41.7373672
park,w53571936_0,1,87,123.4281822,41.7376372
park,w53571936_0,1,88,123.4298844,41.7377305
park,w53571936_0,1,89,123.4321192,41.7381053
park,w53571936_0,1,90,123.4327514,41.7382693
park,w53571936_0,1,91,123.4332183,41.7383904
road,w53571957_0,0,0,123.4662457,41.7551318
road,w53571957_0,0,1,123.4663263,41.7566517
road,w53571957_0,0,2,123.4663223,41.7575634
road,w53571957_0,0,3,123.4663269,41.7579077
road,w53571957_0,0,4,123.4663506,41.7584943
road,w53571962_0,0,0,123.4658135,41.7468524
road,w53571962_0,0,1,123.4661616,41.7536319
road,w53571962_0,0,2,123.4662457,41.7551318
footway,w53572273_0,0,0,123.4581983,41.7561703
footway,w53572273_0,0,1,123.4603981,41.7548802
footway,w53572273_0,0,2,123.4605571,41.7547787
footway,w53572273_0,0,3,123.4607022,41.7546861
footway,w53572273_0,0,4,123.4609579,41.7545229
footway,w53572273_0,0,5,123.4628954,41.7541132
footway,w53572273_0,0,6,123.4643039,41.7537898
footway,w53572273_0,0,7,123.4649428,41.7534418
footway,w53572273_0,0,8,123.4652545,41.7532720
footway,w53572273_0,0,9,123.4665014,41.7531145
footway,w53572273_0,0,10,123.4684111,41.7530905
footway,w53572273_0,0,11,123.4702994,41.7531225
footway,w53572273_0,0,12,123.4712253,41.7531933
footway,w53572273_0,0,13,123.4733356,41.7533546
footway,w53572273_0,0,14,123.4773504,41.7540081
footway,w53572273_0,0,15,123.4848906,41.7552355
footway,w53572273_0,0,16,123.4900197,41.7561819
road,w53572278_0,0,0,123.4360792,41.7625660
road,w53572278_0,0,1,123.4363697,41.7625576
road,w53572278_0,0,2,123.4380663,41.7624018
road,w53572278_0,0,3,123.4390680,41.7623098
road,w53572278_0,0,4,123.4401379,41.7622121
road,w53572278_0,0,5,123.4433587,41.7619179
road,w53572278_0,0,6,123.4434797,41.7619068
road,w53572278_0,0,7,123.4466094,41.7618195
road,w53572278_0,0,8,123.4496327,41.7617352
road,w53572278_0,0,9,123.4536863,41.7616222
road,w53572278_0,0,10,123.4590264,41.7614740
road,w53572278_0,0,11,123.4663127,41.7612431
road,w53572278_0,0,12,123.4664507,41.7612357
road,w53572278_0,0,13,123.4689317,41.7611852
road,w53572278_0,0,14,123.4718140,41.7611266
road,w53572278_0,0,15,123.4758883,41.7610109
road,w53572278_0,0,16,123.4789576,41.7609238
road,w53572278_0,0,17,123.4819711,41.7608551
road,w53572278_0,0,18,123.4846043,41.7607877
